id,parent_id,code,description,level
block:E66,chapter:E,E66,Block E66,block
block:E67,chapter:E,E67,Block E67,block
block:E68,chapter:E,E68,Block E68,block
block:E70,chapter:E,E70,Block E70,block
block:E71,chapter:E,E71,Block E71,block
block:E72,chapter:E,E72,Block E72,block
block:E73,chapter:E,E73,Block E73,block
block:E74,chapter:E,E74,Block E74,block
block:E75,chapter:E,E75,Block E75,block
block:E76,chapter:E,E76,Block E76,block
block:E77,chapter:E,E77,Block E77,block
block:E78,chapter:E,E78,Block E78,block
block:E79,chapter:E,E79,Block E79,block
block:E80,chapter:E,E80,Block E80,block
block:E83,chapter:E,E83,Block E83,block
block:E84,chapter:E,E84,Block E84,block
block:E85,chapter:E,E85,Block E85,block
block:E86,chapter:E,E86,Block E86,block
block:E87,chapter:E,E87,Block E87,block
block:E88,chapter:E,E88,Block E88,block
block:E89,chapter:E,E89,Block E89,block
block:E90,chapter:E,E90,Block E90,block
block:F00,chapter:F,F00,Block F00,block
block:F01,chapter:F,F01,Block F01,block
block:F02,chapter:F,F02,Block F02,block
block:F03,chapter:F,F03,Block F03,block
block:F04,chapter:F,F04,Block F04,block
block:F05,chapter:F,F05,Block F05,block
block:F06,chapter:F,F06,Block F06,block
block:F07,chapter:F,F07,Block F07,block
block:F09,chapter:F,F09,Block F09,block
block:F10,chapter:F,F10,Block F10,block
block:F11,chapter:F,F11,Block F11,block
block:F12,chapter:F,F12,Block F12,block
block:F13,chapter:F,F13,Block F13,block
block:F14,chapter:F,F14,Block F14,block
block:F15,chapter:F,F15,Block F15,block
block:F16,chapter:F,F16,Block F16,block
block:F17,chapter:F,F17,Block F17,block
block:F18,chapter:F,F18,Block F18,block
block:F19,chapter:F,F19,Block F19,block
block:F20,chapter:F,F20,Block F20,block
block:F21,chapter:F,F21,Block F21,block
block:F22,chapter:F,F22,Block F22,block
block:F23,chapter:F,F23,Block F23,block
block:F24,chapter:F,F24,Block F24,block
block:F25,chapter:F,F25,Block F25,block
block:F28,chapter:F,F28,Block F28,block
block:F29,chapter:F,F29,Block F29,block
block:F30,chapter:F,F30,Block F30,block
block:F31,chapter:F,F31,Block F31,block
block:F32,chapter:F,F32,Block F32,block
block:F33,chapter:F,F33,Block F33,block
block:F34,chapter:F,F34,Block F34,block
block:F38,chapter:F,F38,Block F38,block
block:F39,chapter:F,F39,Block F39,block
block:F40,chapter:F,F40,Block F40,block
block:F41,chapter:F,F41,Block F41,block
block:F42,chapter:F,F42,Block F42,block
block:F43,chapter:F,F43,Block F43,block
block:F44,chapter:F,F44,Block F44,block
block:F45,chapter:F,F45,Block F45,block
block:F48,chapter:F,F48,Block F48,block
block:F50,chapter:F,F50,Block F50,block
block:F51,chapter:F,F51,Block F51,block
block:F52,chapter:F,F52,Block F52,block
block:F53,chapter:F,F53,Block F53,block
block:F54,chapter:F,F54,Block F54,block
block:F55,chapter:F,F55,Block F55,block
block:F59,chapter:F,F59,Block F59,block
block:F60,chapter:F,F60,Block F60,block
block:F61,chapter:F,F61,Block F61,block
block:F62,chapter:F,F62,Block F62,block
block:F63,chapter:F,F63,Block F63,block
block:F64,chapter:F,F64,Block F64,block
block:F65,chapter:F,F65,Block F65,block
block:F66,chapter:F,F66,Block F66,block
block:F68,chapter:F,F68,Block F68,block
block:F69,chapter:F,F69,Block F69,block
block:F70,chapter:F,F70,Block F70,block
block:F71,chapter:F,F71,Block F71,block
block:F72,chapter:F,F72,Block F72,block
block:F73,chapter:F,F73,Block F73,block
block:F78,chapter:F,F78,Block F78,block
block:F79,chapter:F,F79,Block F79,block
block:F80,chapter:F,F80,Block F80,block
block:F81,chapter:F,F81,Block F81,block
block:F82,chapter:F,F82,Block F82,block
block:F83,chapter:F,F83,Block F83,block
block:F84,chapter:F,F84,Block F84,block
block:F88,chapter:F,F88,Block F88,block
block:F89,chapter:F,F89,Block F89,block
block:F90,chapter:F,F90,Block F90,block
block:F91,chapter:F,F91,Block F91,block
block:F92,chapter:F,F92,Block F92,block
block:F93,chapter:F,F93,Block F93,block
block:F94,chapter:F,F94,Block F94,block
block:F95,chapter:F,F95,Block F95,block
block:F98,chapter:F,F98,Block F98,block
block:F99,chapter:F,F99,Block F99,block
block:G00,chapter:G,G00,Block G00,block
block:G01,chapter:G,G01,Block G01,block
block:G02,chapter:G,G02,Block G02,block
block:G03,chapter:G,G03,Block G03,block
block:G04,chapter:G,G04,Block G04,block
block:G05,chapter:G,G05,Block G05,block
block:G06,chapter:G,G06,Block G06,block
block:G07,chapter:G,G07,Block G07,block
block:G08,chapter:G,G08,Block G08,block
block:G09,chapter:G,G09,Block G09,block
